allahım çıldıracağım yemin ederim çıldıracağım sinirimden yerden çıkaramıyorum cam çerçeve indireceğim varsa ,kizgin
site çalıştıda ürün stokları bitti diyor mal mısınız oğlum kandırıyorsunuz ,kizgin
sebebi neydi bağıracağım kaldı ,kizgin
black friday amk çıkardınız bokuda mal mısınız nesiniz ,kizgin
kısa kısa cevaplar vericeksen yazıyorsun gerizekalı ,kizgin
cinnet geçiriyorum iyice çıldırttılar ,kizgin
allahım etraf beyinsiz kaynıyor çıldıracağım ,kizgin
bok geçti sınavım çıldıracağım ,kizgin
allah kahretsin öfkeliyim diyecek söz bulamıyorum ,kizgin
gerçek gerizekalı deli kitle altına sıçmalı bokuyla oynamalı ,kizgin
allah belamı versin günün saati keyfim yerindeyse geri kalan saat sinir küpü oluyorum ,kizgin
gün yaptığım stres sonucu olmamış davranan ailem tavırları delirtecek ,kizgin
erkekleri anlayamıyorum çıldıracağım ,kizgin
annemden babamdan nefret ediyorum ,kizgin
tek kelimeyle herşeyin düzeleceğini sanan aptallar nefret ediyorum ,kizgin
kitaba tl verdiğim gerizekalı diyen kişilerin ruja tl vermesi kaçıncı level ,kizgin
lan olum lan gerizekalısınız lan sinirlendim ,kizgin
lan çikolatalı sütüm bak sinirlendim ,kizgin
zerre umursamayan insanlar deli üzülüyorsunuz mal mısınız ,kizgin
kendimi karşıma alıp konuşmak istiyorum bak gerizekalı iş olmaz ,kizgin
yarın uyumadığım dakika kendime küfür edeceğim ,kizgin
takip atıyorum gt atmıyorsunuz sövüyorum ,kizgin
allah belanı versin tudor cehennemde yan nerden geldin başımıza kardeşim ,kizgin
lan padişah bağırıyor gerizekalılar ,kizgin
susmasam sesimde delireceğim ,kizgin
admin bey acayip sövüyorlar bilmediğim küfürler öğrendim ,kizgin
türkiye küfürler inliyor an şerefsizler hain sürüsü ,kizgin
hayat cinnet geçir ısrarla olay çıkartıyor karşıma ,kizgin
tbmm kürsüsünden sert sözler demirören ekibi türk futbolundan defolup gitsin ,kizgin
sosyal medya dedikoduları baymaya başladı ağız dolusu küfür edeceğim yeter ,kizgin
soruyorum mal mısınız amk ,kizgin
terörden beslenen övünen geçinen destek veren destek yanında duran göz yuman varsa allah belasını versin ,kizgin
tl yiyin devletin malı yiyin yemeyen keriz anlayamıyorum insanlar sinirden öldürücek ,kizgin
kızlar salak mısınız gidin okuyun mal evleniyorsunuz ,kizgin
allah kimseyi gerizekalı insanlarla sınamasın ,kizgin
birşeye sinirlendim lan ,kizgin
öğrencilerime test çözdürürken hata yaptıklarında aynur hocam deliriyorum ,kizgin
nefretimiz elektriğe dönüştürülebilseydi dünyayı aydınlatmaya yeterdi ,kizgin
bomboş saçma bugün öfkeliyim ,kizgin
bayern madrid çıkamazmış davranıyor delireceğim ,kizgin
insanlar doğarken sonradan gerizekalı bilemiyorum iyice araştırmak lazım ,kizgin
fake değilim bas bas bağıracağım ,kizgin
derse gidemedim delireceğim ,kizgin
yaşadığım sürece negredoya küfür edeceğim ,kizgin
susarak asil illa küfür edeceğim ,kizgin
konserden hepinize küfür edeceğim nefret yorumları yapanlar şuan jong dinlemem lazım ,kizgin
hay sikeyim yorumcuyu para veriyorlar sinir oluyorum lan ,kizgin
ıslıklayanları küfür edenleri görevliler yaka paça dışarı atsın ,kizgin
hocam insan bilmese haddini bilmelidir bilmeyenler sinirlendiriyor ,kizgin
okula makyaj yapıp geliyosunuz kardeşim mal mısınız ,kizgin
birisinden nefret ediyorum ,kizgin
eğitim sistemi cidden berbat saçma sapan gerizekalı sistem ,kizgin
bağıracağım olsan bari ,kizgin
tespihimi kaybettim bulamıyorum saattir delireceğim ,kizgin
saattir uyumaya çalışıyorum tık yok imdat bağıracağım ,kizgin
lan kadın jungkooka yürümemiş koşmuş uçmuş bak sinirlendim ,kizgin
özelden arıyorsunuz konuşmuyorsunuz amk mal mısınız ,kizgin
uykumu getirsin küfür edeceğim ,kizgin
gerizekalının tekisin anlatsam anlayamazsın ,kizgin
insanlara kuş beyinli dediğim kuşlara hakaret ettiğimi düşünüyorum ,kizgin
allahım yediğimiz gole bak çıldıracağım yeter ,kizgin
kadına şiddet zavallılık cahilliktir gerizekalılar ,kizgin
kendimi karşıma alıp konuşmak istiyorum bak gerizekalı iş olmaz ,kizgin
oğuzhan ağır küfür edeceğim kaldı ,kizgin
mutsuz korkağım kendime kızıyorum ,kizgin
kuzenime ödev yaptırıyorum birazdan çıldıracağım sanırım ,kizgin
koysana tolgayı yeter çıldıracağım kafayı yiyorum ,kizgin
insanın yaşam enerjisini anda alıp götüren sinir ediyor ,kizgin
kendimden nefret etmek sebep buldum üzgün olduğumda yapacağım belli olmuyor ,kizgin
anlasın yeter çıldıracağım ,kizgin
yeter karadenizliyle evlendirip dağlara salın çıldıracağım yeter ,kizgin
durduk yere gözüm kanlandı çıldıracağım nazar değdirmeyin yeter ,kizgin
büyük küfür edeceğim zor tutuyorum kendimi ,kizgin
saat su yok çıldıracağım ,kizgin
gizem yokken yapasım gelmiyor çıldıracağım ,kizgin
telefonumun ekranı tuzla buz oldu anlık kalp krizleri sinir krizlerini atlattım onlaynım ,kizgin
bak küfür edeceğim kaldı mal beyinliler ,kizgin
haksızlığı yapanların cehennemde yanacağına şüphem yok ,kizgin
vurun ölmedim bağıracağım ,kizgin
abi yavaş tutkusuzuz çıldıracağım ,kizgin
çantamda esneyen terliğimle dışarı çıkıp doğru durmayan varsa ağzına ağzına vurmak istiyorum ,kizgin
hoca bitir özeti bitir fazla bekleyemiyorum çıldıracağım ,kizgin
iddaa lira kaybedip yattı sövenlere sövüyorum ,kizgin
gezme kelimesini alışveriş algılayan kızlara hayli sövüyorum ,kizgin
yağmasın saçımın fönü bozuluyor diyenlerin cidden ağzına vurmak istiyorum ,kizgin
trabzona yenildik düşündükçe sövüyorum sövdükçe sövüyorum yok arkadaş ,kizgin
ülke gerizekalı dolu hal olunca zekasızlar buluyor isyanda edemez olduk ,kizgin
gerizekalı insan sitede kötü atlara binip defolup gitse keşke ,kizgin
mal insanlar dünyada ,kizgin
kış mevsimi sevenleri kınıyorum içerliyorum kış mevsimi sevenlere sövüyorum ,kizgin
kıza soru atıyorum yapamadım diyorki attın indiricem kızım mal ,kizgin
çaresizliğin anasına bacısına sövüyorum bok kafalı çaresizlik ,kizgin
kendimi karşıma alıp konuşmak istiyorum bak gerizekalı iş olmaz ,kizgin
gerizekalı prim anlamayacağımızı sanıyor ,kizgin
annemden boşuna yemek yapmayı öğrendim gerizekalı ,kizgin
sinirden delireceğim ,kizgin
devamsızlığımı girersin amk mal ,kizgin
,kizgin
mal lan sinirimi bozuyorsun ,kizgin
